symbol	file	line	consumer_type	text
selected_moves	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	82	unknown_or_support	- Current production dry-run still reports `selected_moves_before_gate=2`, `selected_moves_after_gate=1`, and `authority_decision=cap_prepared_authority_to_certified_evidence`.
selected_moves	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	103	unknown_or_support	| requested_max_selected_moves | 2 |
selected_moves	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	108	unknown_or_support	| selected_moves_before_gate | 2 |
selected_moves	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	109	unknown_or_support	| selected_moves_after_gate | 1 |
authority_budget	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	111	unknown_or_support	| authority_action | allow_only_certified_authority_budget |
selected_moves	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	176	unknown_or_support	- block selected_moves_above_authority_budget
authority_budget	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	186	unknown_or_support	| Action | allow_only_certified_authority_budget |
restore_barrier	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	188	unknown_or_support	| Trigger | after_policy_selection_before_restore_barrier_snapshot_apply |
authority_budget	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	189	unknown_or_support	| Written Evidence | plan.safety.authority_budget_gate and this report |
selected_moves	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	190	unknown_or_support	| Blocked Actions | promotion_without_certification, apply_above_certified_budget, selected_moves_above_authority_budget |
terminal_reason	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	214	unknown_or_support	| terminal_reason | dry_run_intelligence_snapshot_stop_required |
selected_moves	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	215	unknown_or_support	| requested_max_selected_moves | 2 |
selected_moves	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	216	unknown_or_support	| selected_moves | 0 |
selected_moves	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	221	unknown_or_support	| selected_moves_before_gate | 2 |
selected_moves	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	222	unknown_or_support	| selected_moves_after_gate | 1 |
authority_budget	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	224	unknown_or_support	| authority_action | allow_only_certified_authority_budget |
restore_barrier	PROGRAM_AUTHORITY_PROMOTION_EVIDENCE_REVIEW_AND_SMALL_BATCH_ELIGIBILITY_CERTIFICATION_REPORT.md	225	unknown_or_support	| clearance_generation_reason | restore_barrier_clearance_generation_expired |
decisions	CONVERGENCE_A_PACKAGE_DECISIONS.md	27	unknown_or_support	package_decisions_complete=true
selected_moves	PROGRAM_DEPLOY_FEEDBACK_BINDING_FIX_REFRESH_PRODUCTION_SNAPSHOTS_AND_RERUN_AUTONOMY_CONFIDENCE_REPORT.md	88	unknown_or_support	- без refresh: `dry_run_no_selected_moves` + `routing_brain` unavailable в этой sandbox-среде
selected_moves	BLOCK_E12_GENERATION_TOKEN_HARDENING_NONZERO_BUDGET_REHEARSAL_AND_ORCHESTRATION_MATURITY_REPORT.md	14	unknown_or_support	and missing token all fail closed with `selected_moves=0`.
selected_moves	BLOCK_E12_GENERATION_TOKEN_HARDENING_NONZERO_BUDGET_REHEARSAL_AND_ORCHESTRATION_MATURITY_REPORT.md	46	unknown_or_support	E11.17 `clearance_max_selected_moves=0` barrier.
selected_moves	BLOCK_E12_GENERATION_TOKEN_HARDENING_NONZERO_BUDGET_REHEARSAL_AND_ORCHESTRATION_MATURITY_REPORT.md	68	unknown_or_support	- plain expired clearance: `selected_moves=3`
selected_moves	BLOCK_E12_GENERATION_TOKEN_HARDENING_NONZERO_BUDGET_REHEARSAL_AND_ORCHESTRATION_MATURITY_REPORT.md	69	unknown_or_support	- budget 3 without token: `selected_moves=0`,
restore_barrier	BLOCK_E12_GENERATION_TOKEN_HARDENING_NONZERO_BUDGET_REHEARSAL_AND_ORCHESTRATION_MATURITY_REPORT.md	70	unknown_or_support	`restore_barrier_clearance_generation_token_missing`
selected_moves	BLOCK_E12_GENERATION_TOKEN_HARDENING_NONZERO_BUDGET_REHEARSAL_AND_ORCHESTRATION_MATURITY_REPORT.md	71	unknown_or_support	- budget 3 with matching generation/hash/count: `selected_moves=3`
selected_moves	BLOCK_E12_GENERATION_TOKEN_HARDENING_NONZERO_BUDGET_REHEARSAL_AND_ORCHESTRATION_MATURITY_REPORT.md	72	unknown_or_support	- budget 2 against 3 candidates: `selected_moves=0`
selected_moves	BLOCK_E12_GENERATION_TOKEN_HARDENING_NONZERO_BUDGET_REHEARSAL_AND_ORCHESTRATION_MATURITY_REPORT.md	73	unknown_or_support	- stale generation: `selected_moves=0`
selected_moves	BLOCK_E12_GENERATION_TOKEN_HARDENING_NONZERO_BUDGET_REHEARSAL_AND_ORCHESTRATION_MATURITY_REPORT.md	74	unknown_or_support	- stale hash: `selected_moves=0`
selected_moves	BLOCK_E12_GENERATION_TOKEN_HARDENING_NONZERO_BUDGET_REHEARSAL_AND_ORCHESTRATION_MATURITY_REPORT.md	75	unknown_or_support	- count mismatch: `selected_moves=0`
selected_moves	BLOCK_E12_GENERATION_TOKEN_HARDENING_NONZERO_BUDGET_REHEARSAL_AND_ORCHESTRATION_MATURITY_REPORT.md	79	unknown_or_support	- temporary barrier: expired, cleared, `clearance_max_selected_moves=3`, no
selected_moves	BLOCK_E12_GENERATION_TOKEN_HARDENING_NONZERO_BUDGET_REHEARSAL_AND_ORCHESTRATION_MATURITY_REPORT.md	82	unknown_or_support	- apply result: `no_selected_moves`
proposal	BLOCK_E35_0_CURRENT_RULES_GROUPS_REQUIRED_SERVICES_AUDIT_REPORT.md	33	unknown_or_support	required_services_proposal_integration=true
proposal	BLOCK_E35_0_CURRENT_RULES_GROUPS_REQUIRED_SERVICES_AUDIT_REPORT.md	35	unknown_or_support	Selecting required services in admin currently stores user preferences and feeds service matrix recommendations/proposals. It does not by itself guarantee access, move the user, or hard-block every runtime path.
proposal	BLOCK_E35_0_CURRENT_RULES_GROUPS_REQUIRED_SERVICES_AUDIT_REPORT.md	58	unknown_or_support	- recommendations/proposals when another channel is more suitable
decisions	PROGRAM_PERF1_RUNTIME_AND_INTELLIGENCE_PERFORMANCE_ARCHITECTURE_REPORT.md	23	unknown_or_support	Heavy calculations should happen before runtime decisions. Runtime should consume compact summaries with freshness, confidence, and source hashes.
decisions	PROGRAM_PERF1_RUNTIME_AND_INTELLIGENCE_PERFORMANCE_ARCHITECTURE_REPORT.md	34	unknown_or_support	- computes active user decisions
decisions	BLOCK2_1_AUTOSWITCH_SIGNAL_REFINEMENT_REPORT.md	134	unknown_or_support	- autoswitch could make load-aware decisions;
candidate_moves_total	BLOCK2_1_AUTOSWITCH_SIGNAL_REFINEMENT_REPORT.md	386	unknown_or_support	candidate_moves_total: 0
selected_moves	BLOCK2_1_AUTOSWITCH_SIGNAL_REFINEMENT_REPORT.md	387	unknown_or_support	selected_moves: 0
selected_moves	BLOCK2_1_AUTOSWITCH_SIGNAL_REFINEMENT_REPORT.md	518	unknown_or_support	- journal shows `applied=false` with `reason=no_selected_moves`.
restore_barrier	CTR_I1_IMPLEMENTATION_REPORT.md	249	unknown_or_support	- restore_barrier_changed=false
selected_moves	CTR_I1_IMPLEMENTATION_REPORT.md	258	unknown_or_support	- selected_moves_write_authority=`none`
decisions	PROGRAM_BOUNDED_AUTONOMY_READINESS_REVIEW_AND_AUTONOMY_BOUNDARY_MODEL_REPORT.md	192	unknown_or_support	The current system can safely move from “operator sees reports” to “operator sees system decisions and approves them”.
selected_moves	BLOCK_E9_3_8_AUTOSWITCH_TRANSIENT_SERVICE_SIGNAL_POLICY_FIX_REPORT.md	43	unknown_or_support	Instagram one-sample fail => DEGRADED_SERVICE, selected_moves=0
selected_moves	BLOCK_E9_3_8_AUTOSWITCH_TRANSIENT_SERVICE_SIGNAL_POLICY_FIX_REPORT.md	44	unknown_or_support	Instagram persistent fail => selected_moves>0 allowed
selected_moves	BLOCK_E9_3_8_AUTOSWITCH_TRANSIENT_SERVICE_SIGNAL_POLICY_FIX_REPORT.md	45	unknown_or_support	Telegram degraded not hard-blocked => selected_moves=0
selected_moves	BLOCK_E9_3_8_AUTOSWITCH_TRANSIENT_SERVICE_SIGNAL_POLICY_FIX_REPORT.md	49	unknown_or_support	Restore stage without approval => selected_moves=0
selected_moves	BLOCK_E9_3_8_AUTOSWITCH_TRANSIENT_SERVICE_SIGNAL_POLICY_FIX_REPORT.md	50	unknown_or_support	Restore stage with approval => selected_moves bounded by max_failover_per_restore_stage
selected_moves	BLOCK_E9_3_8_AUTOSWITCH_TRANSIENT_SERVICE_SIGNAL_POLICY_FIX_REPORT.md	86	unknown_or_support	selected_moves_for_single_instagram_failure_after_fix=0
candidate_moves_total	BLOCK_E9_3_8_AUTOSWITCH_TRANSIENT_SERVICE_SIGNAL_POLICY_FIX_REPORT.md	87	unknown_or_support	candidate_moves_total_for_single_instagram_failure_after_fix=0
selected_moves	BLOCK_E9_3_8_AUTOSWITCH_TRANSIENT_SERVICE_SIGNAL_POLICY_FIX_REPORT.md	132	unknown_or_support	selected_moves_for_single_instagram_failure_after_fix=0
selected_moves	PROGRAM_RI4_B_CANDIDATE_SUITABILITY_AND_BEST_AVAILABLE_POOL_FOUNDATION_REPORT.md	163	unknown_or_support	- `selected_moves_write_authority=none`
selected_moves	BLOCK_E24_1_RUNTIME_REPO_CONVERGENCE_FOR_MOVEMENT_EXECUTION_REPORT.md	117	unknown_or_support	- interpreted as `selected_moves=0`.
selected_moves	BLOCK_E24_1_RUNTIME_REPO_CONVERGENCE_FOR_MOVEMENT_EXECUTION_REPORT.md	133	unknown_or_support	- selected_moves remain zero
decisions	BLOCK2_HEALTH_SEMANTICS_TRUTH_MODEL_REPORT.md	67	unknown_or_support	- supporting input for routing decisions.
affected_users	BLOCK2_HEALTH_SEMANTICS_TRUTH_MODEL_REPORT.md	99	unknown_or_support	"affected_users": 0,
proposal	UX_4_CHANNEL_DRAWER_REBUILD_SPECIFICATION_REPORT.md	47	unknown_or_support	| Materials and contracts | Weekly/incident | Evidence/proposal/execution lookup | Yes | Screen 3 | Hide from Screen 1 |
proposal	UX_4_CHANNEL_DRAWER_REBUILD_SPECIFICATION_REPORT.md	300	unknown_or_support	| No proposals | Yes on Screen 1/2 | Yes on Screen 3 | Keep Screen 3 empty proposal message only. |
proposal	UX_4_CHANNEL_DRAWER_REBUILD_SPECIFICATION_REPORT.md	383	unknown_or_support	| Screen 3 | Evidence and Audit | "What proves this and what happened before?" | Evidence, proposals, execution/contracts, lifecycle, raw trust/source facts, config, logs/events, migration/delete audit, metadata. |
current_egress	BLOCK_E9_2_SECOND_ONE_USER_CANARY_APPROVAL_PACKET.md	16	unknown_or_support	current_egress=vless
current_egress	BLOCK_E9_2_SECOND_ONE_USER_CANARY_APPROVAL_PACKET.md	256	unknown_or_support	current_egress=vless
selected_moves	BLOCK_E9_4_2_FRESH_BOUNDED_APPLY_RESTORE_RETRY_REPORT.md	25	unknown_or_support	final_planner_selected_moves=0
selected_moves	BLOCK_E9_4_2_FRESH_BOUNDED_APPLY_RESTORE_RETRY_REPORT.md	60	unknown_or_support	selected_moves=[]
selected_moves	BLOCK_E9_4_2_FRESH_BOUNDED_APPLY_RESTORE_RETRY_REPORT.md	62	unknown_or_support	apply_result.reason=no_selected_moves
proposal	BLOCK_P1_2_RUNTIME_AND_RELEASE_TRUST_IMPLEMENTATION_PLANNING_REPORT.md	116	unknown_or_support	- proposal/batch blocker display.
decisions	BLOCK_P1_2_RUNTIME_AND_RELEASE_TRUST_IMPLEMENTATION_PLANNING_REPORT.md	136	unknown_or_support	Implementation decisions still required:
candidate_moves_total	STABILITY1_CLOSE_AND_BA3_RECERTIFICATION_REPORT.md	207	unknown_or_support	- planner_candidate_moves_total=3
restore_barrier	STABILITY1_CLOSE_AND_BA3_RECERTIFICATION_REPORT.md	209	unknown_or_support	- restore_barrier_created=false
selected_moves	BLOCK_E9_4_5_RESTORE_SETTLE_GATE_AND_POST_APPLY_GUARD_DESIGN_REPORT.md	24	unknown_or_support	selected_moves=0
selected_moves	BLOCK_E9_4_5_RESTORE_SETTLE_GATE_AND_POST_APPLY_GUARD_DESIGN_REPORT.md	52	unknown_or_support	- every sample has `selected_moves=0`;
selected_moves	BLOCK_E9_4_5_RESTORE_SETTLE_GATE_AND_POST_APPLY_GUARD_DESIGN_REPORT.md	79	unknown_or_support	selected_moves_by_sample
selected_moves	BLOCK_E9_4_5_RESTORE_SETTLE_GATE_AND_POST_APPLY_GUARD_DESIGN_REPORT.md	105	unknown_or_support	selected_moves_by_sample=[3]
selected_moves	BLOCK_E9_4_5_RESTORE_SETTLE_GATE_AND_POST_APPLY_GUARD_DESIGN_REPORT.md	119	unknown_or_support	- one sample with `selected_moves>0` => NO-GO;
selected_moves	PROGRAM_SERVICE_MATRIX_VOLATILITY_OWNER_ROOT_CAUSE_CLOSURE_AND_MEDIUM_BATCH_CONTINUATION_REPORT.md	67	unknown_or_support	Fixed a governance contract bug where the approval packet for pre-barrier selected moves reused the atomic envelope from `selected_moves=0`. The packet now binds the expected envelope to the approved nonzero move set.
restore_barrier	PROGRAM_SERVICE_MATRIX_VOLATILITY_OWNER_ROOT_CAUSE_CLOSURE_AND_MEDIUM_BATCH_CONTINUATION_REPORT.md	155	unknown_or_support	restore_barrier_fresh=true
decisions	PROGRAM_Z6_2_FULL_RUNTIME_CYCLE_MAPPING_REPORT.md	54	unknown_or_support	| Planner authority | `v7-users-autoswitch` owns planner decisions. |
restore_barrier	PROGRAM_Z6_2_FULL_RUNTIME_CYCLE_MAPPING_REPORT.md	246	unknown_or_support	restore_barrier_lifecycle_understood=true
proposal	BLOCK_P2_8_4_CONVERGENCE_BRANCH_PREPARATION_REPORT.md	93	unknown_or_support	Truth sources were mapped for authority, candidate, execution, proposal, evidence, users, channels, routing, readiness, simulation, events, and audit. Future source should be convergence branch source plus runtime manifest where runtime state is canonical.
selected_moves	PROGRAM_Z8_9_CONVERGENCE_REMEDIATION_AND_Z8_5_RETRY_REPORT.md	99	unknown_or_support	selected_moves_missing
restore_barrier	PROGRAM_Z8_9_CONVERGENCE_REMEDIATION_AND_Z8_5_RETRY_REPORT.md	146	unknown_or_support	restore_barrier_known=true
selected_moves	BLOCK_E9_3_9_BOUNDED_RUNTIME_AUTOSWITCH_POLICY_FIX_DEPLOY_REPORT.md	43	unknown_or_support	selected_moves=[]
selected_moves	BLOCK_E9_3_9_BOUNDED_RUNTIME_AUTOSWITCH_POLICY_FIX_DEPLOY_REPORT.md	45	unknown_or_support	apply_result.reason=no_selected_moves
candidate_moves_total	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	41	unknown_or_support	- `candidate_moves_total = 8`
restore_barrier	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	113	unknown_or_support	- `terminal_reason = dry_run_restore_barrier_clearance_generation_expired`
current_egress	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	211	unknown_or_support	| `10.0.0.2` | `awg3` | `wireguard-1779454504-c43409` | failover | `current_egress_not_eligible` |
current_egress	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	212	unknown_or_support	| `10.7.0.3` | `awg3` | `wireguard-1779454504-c43409` | failover | `current_egress_not_eligible` |
current_egress	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	213	unknown_or_support	| `10.7.0.4` | `awg3` | `wireguard-1779454504-c43409` | failover | `current_egress_not_eligible` |
current_egress	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	214	unknown_or_support	| `10.7.0.8` | `awg3` | `wireguard-1779454504-c43409` | failover | `current_egress_not_eligible`, `projected_load_target_adjusted` |
current_egress	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	215	unknown_or_support	| `10.7.0.10` | `awg3` | `wireguard-1779454504-c43409` | failover | `current_egress_not_eligible` |
current_egress	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	216	unknown_or_support	| `10.7.0.12` | `awg3` | `wireguard-1779454504-c43409` | failover | `current_egress_not_eligible`, `projected_load_target_adjusted` |
current_egress	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	217	unknown_or_support	| `10.7.0.14` | `awg3` | `wireguard-1779454504-c43409` | failover | `current_egress_not_eligible` |
current_egress	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	218	unknown_or_support	| `10.7.0.16` | `awg3` | `wireguard-1779454504-c43409` | failover | `current_egress_not_eligible`, `projected_load_target_adjusted` |
current_egress	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	226	unknown_or_support	- `current_egress_not_eligible` = 8
candidate_moves_total	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	377	unknown_or_support	- candidate_moves_total = 8
selected_moves	POOL2_STABILITY_WINDOW_RECHECK_REPORT.md	378	unknown_or_support	- selected_moves = 0
decisions	CHANNEL_SIGNALS_2B_ALIGNMENT_REPORT.md	20	unknown_or_support	| `docs/decisions/ADR-002-channel-score-is-mixed-score.md` | Score is mixed and must not become the planner. |
decisions	CHANNEL_SIGNALS_2B_ALIGNMENT_REPORT.md	21	unknown_or_support	| `docs/decisions/ADR-007-channel-signal-semantics-correction.md` | First-level signals must explain the decision. |
decisions	BLOCK_E34_B_RELEASE_AND_PROVENANCE_ARCHITECTURE_REPORT.md	80	unknown_or_support	It does not move users, mutate runtime, change routing, apply autoswitch, consume packets, bypass governance, or alter routing decisions.
selected_moves	CHANNEL_TRUTH_4_CHANNEL_ROLE_MODEL_REPORT.md	29	unknown_or_support	| Evacuate | Selected moves away from this channel | `selected_moves.current_egress` / batch preview moves |
proposal	CONVERGENCE_B_PACKAGE_PREPARATION.md	9	unknown_or_support	| Package 2: Execution Draft + Validation | proposal/evidence readers, readiness adapters, Package 1 contract IDs | accidental execution semantics, duplicate readiness model | fail-closed tests, no mutation tests |
proposal	BLOCK_E34_H_ARCHITECTURE_TO_IMPLEMENTATION_MAPPING_REPORT.md	41	unknown_or_support	- Routing Intelligence: signals, required services, service health, target quality, user-specific health, proposals, confidence, flapping protection.
proposal	BLOCK_E34_H_ARCHITECTURE_TO_IMPLEMENTATION_MAPPING_REPORT.md	63	unknown_or_support	- proposal card/drawer component;
proposal	BLOCK_E34_H_ARCHITECTURE_TO_IMPLEMENTATION_MAPPING_REPORT.md	72	unknown_or_support	- canonical storage backend for proposal/batch/packet/lock/release/evidence/closure state
proposal	BLOCK_E34_H_ARCHITECTURE_TO_IMPLEMENTATION_MAPPING_REPORT.md	73	unknown_or_support	- proposal API schema
selected_moves	BLOCK_E24_2_FRESH_RESTORE_SETTLE_SAMPLE_WINDOW_FOR_E25_EXECUTION_GATE_REPORT.md	14	unknown_or_support	- `selected_moves_by_sample=[0,0,0]`
selected_moves	BLOCK_E24_2_FRESH_RESTORE_SETTLE_SAMPLE_WINDOW_FOR_E25_EXECUTION_GATE_REPORT.md	66	unknown_or_support	- `selected_moves_by_sample=[0,0,0]`
selected_moves	BLOCK_E24_2_FRESH_RESTORE_SETTLE_SAMPLE_WINDOW_FOR_E25_EXECUTION_GATE_REPORT.md	124	unknown_or_support	- selected_moves still zero
selected_moves	BLOCK_E24_2_FRESH_RESTORE_SETTLE_SAMPLE_WINDOW_FOR_E25_EXECUTION_GATE_REPORT.md	140	unknown_or_support	- selected_moves appears during sample window: NO
selected_moves	BLOCK_E24_2_FRESH_RESTORE_SETTLE_SAMPLE_WINDOW_FOR_E25_EXECUTION_GATE_REPORT.md	180	unknown_or_support	- `selected_moves_zero=true`
operation_id	PROGRAM_Z8_7_CANONICAL_SOURCE_OF_TRUTH_ESTABLISHMENT_REPORT.md	49	unknown_or_support	- It contains operation wiring markers: `operation_id`, `operation_owner`, `runtime_snapshot_hash`, `finalize_operation`, `runtime_operation_terminal`, `closure_target`.
restore_barrier	SNAP_RECHECK_AUTONOMY_PATH_REPORT.md	145	unknown_or_support	- new terminal reason: `dry_run_restore_barrier_clearance_generation_expired`.
restore_barrier	SNAP_RECHECK_AUTONOMY_PATH_REPORT.md	166	unknown_or_support	restore_barrier_clearance_generation_expired
approved_plan_lock	SNAP_RECHECK_AUTONOMY_PATH_REPORT.md	174	unknown_or_support	- `approved_plan_lock_expired`
approved_plan_lock	SNAP_RECHECK_AUTONOMY_PATH_REPORT.md	175	unknown_or_support	- `approved_plan_lock_user_source_mismatch`
restore_barrier	SNAP_RECHECK_AUTONOMY_PATH_REPORT.md	196	unknown_or_support	restore_barrier_clearance_generation_expired
candidate_moves_total	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	36	unknown_or_support	| `admin_core/operator_observability.py` selected moves | PARTIAL CONTRACT | REUSE | Has `candidate_moves_total`, selected moves, source, freshness. No standardized no-move reason taxonomy in admin API payload. |
proposal	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	48	unknown_or_support	| User drawer payloads | PARTIAL CONTRACT | EXTEND | User data, evidence, proposal, route, recommendation links exist. Needs canonical why contract as default object summary. |
proposal	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	52	unknown_or_support	Inventory verdict: a common explainability framework already exists, but it is not consistently used as the canonical payload across user, channel, planner, evidence, proposal, and execution surfaces.
proposal	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	71	unknown_or_support	| `risk_label` | Yes | Execution candidate `risk_state`, proposal severity, operator states. | Yes | Labels are not always tied to numeric thresholds. |
proposal	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	74	unknown_or_support	| `risk_updated_at` | Partial | Evidence/proposal freshness and snapshot freshness. | Weak | Risk values rarely carry their own timestamp. |
proposal	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	83	unknown_or_support	| `confidence` | Yes | Prediction summaries, recommendation rows, evidence/proposal/execution surfaces. | Yes | Scale differs: some confidence is 0-1, some 0-100, some string bands. |
proposal	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	116	unknown_or_support	| `hard_limit` | Yes | Registry, target pool, proposals, execution blast radius. | Partly | Good source exists; UI often hides exact threshold. |
proposal	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	118	unknown_or_support	| `capacity_reason` | Partial | Target pool warnings, proposal reason, execution `capacity_exceeded`, planner `load status`. | Partly | No universal `capacity_reason`. |
candidate_moves_total	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	136	unknown_or_support	This is the most important section for `candidate_moves_total=0`.
proposal	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	142	unknown_or_support	| `blocked_by_capacity` | Partial | Planner candidate load, execution blast radius `capacity_exceeded`, proposals above hard limit. | Partly | Not part of one no-move taxonomy. |
proposal	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	143	unknown_or_support	| `blocked_by_service` | Partial | Service matrix proposals, candidate blocked reasons, execution service impact. | Partly | Reasons exist but are source-specific. |
candidate_moves_total	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	150	unknown_or_support	- `candidate_moves_total=0`.
proposal	EXPLAINABILITY_1_CONTRACT_DISCOVERY_AND_STANDARDIZATION_AUDIT_REPORT.md	161	unknown_or_support	| Risk | `risk-summaries`, `_risk_penalty()`, execution risk summaries, proposal severity. | Routing/intelligence for score; execution for execution risk; operator surface for display. | Yes. |
